Giants (22),10 (11),10,9,8,7,6,5,4,3,2,1,0,1,0,1,0,7,6,5,4,3,2,1,0,11,10,9,8,7,6,5,4,3,2,1,0,1,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,1,0,2,1,0,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,8,7,6,5,4,3,2,1,0,0,0,0,3,2,1,0,3,2,1,0,0,0,5,4,3,2,1,0,1*
Orioles (12),10 (11),10,9,8,7,6,5,4,3,2,1,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,4,3,2,1,0,0,1,0,0,0,2,1,0,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,40*,39*,38*,37*,36*,35*,34*,33*,32*,31*,30*,29*,28*,27*,26*,25*,24*,23*,22*,21*,20*,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Royals (8),12 (10),9,8,7,6,5,4,3,2,1,0,0,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,3,2,1,0,1,0,0,0,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubs (16),13 (8),7,6,5,4,3,2,1,0,0,0,11,10,9,8,7,6,5,4,3,2,1,0,12,11,10,9,8,7,6,5,4,3,2,1,0,4,3,2,1,0,38*,37*,36*,35*,34*,33*,32*,31*,30*,29*,28*,27*,26*,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,6,5,4,3,2,1,0,2,1,0,2,1,0,2,1,0,10,9,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,1,0,1,0,0,0,2*,1*
Cardinals (26),14 (6),5,4,3,2,1,0,4,3,2,1,0,0,0,0,4,3,2,1,0,0,0,1,0,1,0,3,2,1,0,7,6,5,4,3,2,1,0,1,0,2,1,0,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,0,0,7,6,5,4,3,2,1,0,2,1,0,0,1,0,1,0,22*,21*,20*,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Nationals (2),14 (6),5,4,3,2,1,0,36*,35*,34*,33*,32*,31*,30*,29*,28*,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rays (2),16 (5),4,3,2,1,0,11,10,9,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braves (17),17 (4),3,2,1,0,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,0,12,11,10,9,8,7,6,5,4,3,2,1,0,10,9,8,7,6,5,4,3,2,1,0,0,8,7,6,5,4,3,2,1,0,33*,32*,31*,30*,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Red Sox (19),17 (4),3,2,1,0,2,1,0,4,3,2,1,0,4,3,2,1,0,0,2,1,0,0,3,2,1,0,7,6,5,4,3,2,1,0,1,0,1,0,10,9,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,0,2,1,0,7,6,5,4,3,2,1,0
Padres (3),19 (3),2,1,0,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,12,11,10,9,8,7,6,5,4,3,2,1,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astros (11),20 (2),1,0,0,0,0,0,0,0,11,10,9,8,7,6,5,4,3,2,1,0,0,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamondbacks (3),20 (2),1,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillies (13),20 (2),1,0,0,11,10,9,8,7,6,5,4,3,2,1,0,0,0,13,12,11,10,9,8,7,6,5,4,3,2,1,0,9,8,7,6,5,4,3,2,1,0,2,1,0,1,0,0,0,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,34*,33*,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Rangers (3),20 (2),1,0,11,10,9,8,7,6,5,4,3,2,1,0,0,48**,47*,46*,45*,44*,43*,42*,41*,40*,39*,38*,37*,36*,35*,34*,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians (9),24 (1),0,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,0,0,1,0,39*,38*,37*,36*,35*,34*,33*,32*,31*,30*,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Mets (9),24 (1),0,8,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,0,9,8,7,6,5,4,3,2,1,0,1,0,12,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yankees (48),24 (1),0,1,0,2,1,0,1,0,4,3,2,1,0,1,0,0,4,3,2,1,0,0,1,0,0,0,0,1,0,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,1,0,0,0,11,10,9,8,7,6,5,4,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,2,1,0,0,0,1,0,0,0,0,3,2,1,0,3,2,1,0,0,0,2,1,0,0,0,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Blue Jays (8),27 (0),8,7,6,5,4,3,2,1,0,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,1,0,3,2,1,0,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewers (4),27 (0),6,5,4,3,2,1,0,6,5,4,3,2,1,0,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodgers (30),27 (0),0,2,1,0,0,1,0,0,0,2,1,0,3,2,1,0,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,2,1,0,1,0,1,0,2,1,0,0,2,1,0,7,6,5,4,3,2,1,0,0,1,0,3,2,1,0,2,1,0,0,1,0,0,2,1,0,1,0,5,4,3,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Mariners (4),27 (0),23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,4,3,2,1,0,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
